,R,F,M,C,L
0,1,210,580717,0.9616390429999999,88
1,7,140,293678,1.25231444,85
2,11,135,283712,1.254675516,85
3,97,23,281336,1.090869565,67
4,5,152,309928,0.970657895,59
5,79,92,294585,0.967692483,73
6,1,101,287042,0.965346535,96
7,3,73,287230,0.962070222,47
8,6,56,321489,0.828478237,33
9,15,64,375074,0.7080101529999999,44
10,22,43,262013,0.988658044,40
11,6,145,271438,0.95253487,112
12,67,29,321529,0.799126984,88
13,3,118,179514,1.398381742,89
14,2,50,270067,0.9219848409999999,49
15,65,22,234721,1.0260845859999999,72
16,7,101,172231,1.3865249,44
17,45,40,284160,0.8378442429999999,40
18,2,64,169358,1.4015962640000001,95
19,24,38,332896,0.70828541,31
20,4,106,167113,1.369404116,68
21,6,23,214590,1.0616309240000001,33
22,23,94,305250,0.741803833,107
23,74,20,222380,1.004904443,47
24,17,44,281837,0.7873084440000001,49
25,17,62,243674,0.9029900190000001,41
26,3,213,187917,1.146354614,85
27,11,74,148685,1.4333644280000002,110
28,18,101,159129,1.33816985,98
29,11,87,149254,1.424714581,69
30,2,53,144076,1.469224298,95
31,8,95,149053,1.414895104,112
32,16,131,220948,0.9448842709999999,107
33,3,95,148227,1.3986401940000002,96
34,3,47,285144,0.725685618,87
35,108,25,220389,0.937899941,53
36,34,24,189813,1.087220053,109
37,125,54,141012,1.462104927,96
38,1,166,229303,0.890172305,82
39,34,81,140819,1.4291794430000002,61
40,2,98,137876,1.458541443,95
41,3,35,201141,0.9985545459999999,38
42,3,95,140803,1.3969850069999998,86
43,13,46,256766,0.764737193,46
44,38,54,160825,1.20853437,111
45,22,21,185493,1.029507529,39
46,1,110,187588,1.015978367,20
47,7,134,140356,1.356053179,92
48,2,107,135811,1.3989924230000002,110
49,304,70,219282,0.863479447,44
50,1,189,235687,0.802633323,70
51,4,87,132283,1.4251770069999998,26
52,11,29,211369,0.8888699859999999,88
53,1,48,130135,1.408197795,75
54,1,68,135374,1.349375212,80
55,4,111,216560,0.828452854,111
56,22,69,131660,1.3549435669999998,76
57,4,126,204371,0.867522349,73
58,15,55,153868,1.1460005979999999,111
59,21,76,214921,0.819187329,110
60,15,68,127335,1.380410335,109
61,1,77,136121,1.2880183809999999,112
62,6,84,186821,0.9380310559999999,45
63,14,96,204612,0.848239546,34
64,8,30,164001,1.0572572120000001,46
65,19,85,121097,1.4261062619999998,103
66,88,32,182563,0.9446501209999999,76
67,19,34,170121,1.0136699759999999,44
68,1,197,275800,0.620507614,41
69,7,30,184194,0.928504294,63
70,62,18,209911,0.8118710790000001,19
71,19,64,137636,1.236256939,53
72,4,149,219108,0.774487057,27
73,13,61,143186,1.183962818,76
74,36,36,209839,0.8061770690000001,41
75,22,22,170406,0.992454374,43
76,29,23,169224,0.995539285,12
77,18,16,163191,1.019520072,33
78,8,102,140220,1.1793689920000001,41
79,6,81,159255,1.034587737,101
80,6,30,208687,0.782406571,21
81,12,127,170611,0.956332827,92
82,2,56,116728,1.394863786,66
83,1,79,208797,0.777341772,23
84,9,97,155881,1.036667137,109
85,2,158,205159,0.784701427,112
86,7,64,115300,1.3912993059999998,94
87,13,51,137500,1.165835855,44
88,144,29,157056,1.0178590440000002,81
89,1,69,114077,1.3874902919999998,77
90,15,88,122619,1.281481989,69
91,15,42,162453,0.9660694479999999,38
92,10,129,109813,1.429138536,86
93,14,67,123464,1.265322199,88
94,53,12,146784,1.059166667,47
95,4,100,162250,0.952273652,112
96,11,69,118726,1.297050351,102
97,34,17,125349,1.226505277,35
98,9,12,146784,1.046666667,112
99,4,54,144562,1.053910364,23
100,21,79,123985,1.228445376,68
101,5,87,105119,1.4454897780000002,66
102,17,53,144682,1.046215562,23
103,17,92,134823,1.1183160890000001,86
104,11,48,150537,1.001144569,46
105,3,90,108184,1.390945611,101
106,9,56,104663,1.435274261,62
107,4,146,191328,0.7832398290000001,107
108,15,35,167150,0.894261083,30
109,63,33,174046,0.85318887,29
110,7,142,177357,0.835532119,103
111,44,31,204438,0.723434195,40
112,29,53,102999,1.434114409,88
113,14,21,159605,0.9251142509999999,82
114,27,16,195712,0.75375,21
115,3,85,155704,0.9461749220000001,112
116,22,71,119961,1.225504039,112
117,2,130,167593,0.873661907,67
118,4,89,149557,0.9780682279999999,46
119,11,83,103087,1.411593411,104
120,2,99,162215,0.8969661870000001,111
121,27,40,198627,0.731685018,108
122,11,52,99524,1.458000784,70
123,10,65,119794,1.210876087,99
124,3,34,151642,0.951756044,107
125,6,83,149993,0.9607655690000001,91
126,24,65,109089,1.318943707,28
127,23,18,146238,0.982511386,15
128,4,66,102689,1.39722054,81
129,2,52,105167,1.3569867919999998,95
130,38,27,182561,0.780547269,36
131,1,193,209912,0.6756097790000001,112
132,6,65,184730,0.764,21
133,59,14,144708,0.97367319,23
134,11,24,213058,0.658633893,53
135,17,89,177556,0.787337009,41
136,8,57,98104,1.42497258,69
137,12,101,140188,0.996902945,52
138,16,19,155552,0.897522308,12
139,24,95,140931,0.988949912,93
140,7,85,97855,1.423453171,71
141,22,108,169746,0.8176859540000001,112
142,4,64,97250,1.426656247,112
143,3,113,204853,0.6743815809999999,107
144,1,31,95766,1.438600025,55
145,5,79,129119,1.065611103,100
146,17,109,163010,0.843554751,22
147,18,19,201613,0.681331859,60
148,25,120,172352,0.7902875509999999,57
149,1,45,116917,1.154155854,95
150,135,19,136374,0.9889101290000001,82
151,184,22,135717,0.993493225,46
152,15,80,105118,1.277942503,51
153,6,82,106666,1.255920537,87
154,12,90,179472,0.744693267,43
155,157,17,143287,0.9319913879999999,43
156,9,39,97116,1.3747245559999999,90
157,11,102,102961,1.295748779,70
158,11,90,158149,0.8431856670000001,112
159,7,125,176585,0.75433474,110
160,23,77,94142,1.414713624,85
161,6,79,157844,0.843179595,111
162,13,116,165365,0.802227557,88
163,15,58,91515,1.448642081,38
164,8,109,144321,0.914492693,92
165,9,180,182540,0.720028487,92
166,1,103,218087,0.602317149,50
167,8,107,155834,0.841613512,110
168,121,14,125796,1.040394289,36
169,2,149,155588,0.836742487,49
170,49,76,94185,1.3801774169999999,30
171,3,55,94577,1.3695237740000001,85
172,4,80,92022,1.407186108,30
173,16,40,139742,0.926317142,110
174,7,142,183472,0.702883928,98
175,23,14,126850,1.016463224,12
176,30,24,125340,1.026238631,37
177,18,13,126495,1.014545871,34
178,2,85,151736,0.843447435,87
179,3,68,117537,1.085817147,108
180,8,116,161730,0.786706177,108
181,2,123,89350,1.419099832,23
